Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY
20171008CLE,2017-10-08 13:00:00,CLE,NYJ,-3,10.714285714285715,9.0,8.857142857142858,11.57142857142857,1.4285714285714288,0.7142857142857144,0.5714285714285714,0.14285714285714288,109.85714285714286,125.42857142857144,16.85714285714286,23.0,0.4285714285714286,1.2857142857142858,1.7142857142857144,1.8571428571428572,12.571428571428571,9.85714285714286,15.142857142857142,12.0,74.71428571428572,43.71428571428572
20171008PHI,2017-10-08 13:00:00,PHI,ARI,27,10.571428571428573,14.714285714285715,12.571428571428573,13.714285714285715,0.4285714285714287,0.8571428571428572,0.14285714285714288,0.4285714285714286,167.0,142.57142857142858,26.142857142857142,21.0,0.7142857142857144,0.28571428571428575,2.428571428571429,1.7142857142857144,16.142857142857146,8.571428571428573,12.285714285714286,17.42857142857143,32.57142857142858,81.71428571428572
20171008NYG,2017-10-08 13:00:00,NYG,LAC,-5,10.285714285714286,8.571428571428573,11.85714285714286,10.285714285714286,0.2857142857142857,0.4285714285714286,0.14285714285714285,0.0,153.71428571428572,151.42857142857144,21.42857142857143,23.714285714285715,0.5714285714285715,0.5714285714285715,0.8571428571428572,1.142857142857143,4.428571428571429,7.571428571428574,10.714285714285715,10.714285714285715,38.57142857142857,33.85714285714286
20171008PIT,2017-10-08 13:00:00,PIT,JAX,-21,15.57142857142857,12.857142857142858,11.857142857142858,11.285714285714286,0.4285714285714287,0.5714285714285714,0.14285714285714288,0.2857142857142857,102.28571428571429,129.71428571428572,17.571428571428573,20.000000000000004,0.4285714285714286,0.2857142857142857,0.4285714285714286,1.0,2.2857142857142865,7.0,19.714285714285715,15.428571428571429,85.0,54.285714285714285
20171009CHI,2017-10-09 20:30:00,CHI,MIN,-3,11.285714285714286,8.714285714285715,11.0,11.0,0.7142857142857143,1.5714285714285716,0.5714285714285714,0.7142857142857143,150.42857142857144,107.85714285714286,19.000000000000004,20.000000000000004,0.0,0.7142857142857143,0.7142857142857144,1.142857142857143,6.857142857142858,11.142857142857146,15.571428571428571,14.714285714285715,61.71428571428572,67.14285714285715
20171012CAR,2017-10-12 20:25:00,CAR,PHI,-5,17.125,13.125,14.375,12.625000000000002,0.75,0.7500000000000001,0.375,0.25,161.875,142.875,22.125,19.0,0.37500000000000006,0.6250000000000001,1.625,1.875,8.375000000000002,13.875,19.375,18.125,86.75,61.625000000000014
20171015DEN,2017-10-15 20:30:00,DEN,NYG,-13,10.250000000000002,14.0,11.25,12.142857142857146,0.625,0.8571428571428572,0.125,0.28571428571428575,155.375,113.28571428571429,25.25,18.0,0.6250000000000001,0.5714285714285715,1.6250000000000002,1.8571428571428574,11.875000000000002,13.571428571428575,12.5,18.57142857142857,48.625,81.71428571428572
20171015MIN,2017-10-15 13:00:00,MIN,GNB,13,17.125,12.375,14.25,11.75,0.37500000000000006,0.75,0.25,0.5,153.12500000000003,149.25,23.75,20.625000000000004,0.375,0.0,2.3750000000000004,1.125,17.75,10.375,13.625000000000002,17.5,57.25,73.875
20171015HOU,2017-10-15 13:00:00,HOU,CLE,16,9.625,18.0,12.874999999999998,14.125000000000002,0.8750000000000001,0.7500000000000001,0.25,0.5000000000000001,144.625,127.50000000000001,24.625,19.75,1.375,0.5,1.75,2.5,8.875000000000002,14.250000000000004,14.625,19.375,55.75000000000001,87.875
20171015OAK,2017-10-15 16:25:00,OAK,LAC,-1,12.375,13.500000000000002,13.000000000000002,9.5,0.5,0.7500000000000001,0.125,0.25,166.75,117.875,24.25,19.0,0.6250000000000001,0.375,0.75,1.5,3.875,9.375,13.0,13.625,49.25,56.62500000000001
