Date,abbrev,abbrev,offense_score,defense_score,quarter,time,down,goal_distance,down_distance,yards_gained,game_id,play_type,no_play,runner,receiver,sacked_qb,passer,penalty,home_on_offense,fumbled,intercepted
10/8/2017,ARI,PHI,7,31,3,5:14:00,2,58,8,-1,201710080phi,run,0,JohnCh04,,,,,0,0,0
10/8/2017,ARI,PHI,7,31,3,4:35:00,3,59,9,0,201710080phi,pass,0,,BrowJo02,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,3,1:32:00,1,90,10,15,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,3,0:54:00,1,75,10,6,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,3,0:27:00,1,79,14,0,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,3,0:22:00,2,79,14,13,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,15:00:00,3,66,1,0,201710080phi,pass,0,,SealRi00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,14:55:00,4,66,1,4,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,14:19:00,1,62,10,0,201710080phi,pass,0,,BrowJo02,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,14:03:00,2,67,15,13,201710080phi,pass,0,,BrowJo02,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,13:22:00,3,54,2,0,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,12:39:00,4,54,2,14,201710080phi,pass,0,,GresJe00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,12:10:00,1,40,10,0,201710080phi,pass,0,,BrowJo02,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,12:02:00,2,40,10,2,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,11:25:00,3,38,8,0,201710080phi,pass,0,,BrowJa03,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,4,11:20:00,4,38,8,6,201710080phi,pass,0,,BrowJa03,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,34,4,2:00:00,1,75,10,18,201710080phi,pass,0,,NelsJJ00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,34,4,1:54:00,1,57,10,8,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,34,4,1:34:00,2,49,2,6,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,34,4,1:27:00,1,43,10,0,201710080phi,pass,0,,BrowJa03,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,34,4,1:21:00,2,43,10,0,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,34,4,1:17:00,3,43,10,14,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,34,4,1:12:00,1,29,10,28,201710080phi,pass,0,,NelsJJ00,,PalmCa00,,0,1,0
9/25/2017,ARI,DAL,0,0,1,14:57:00,1,82,10,20,201709250crd,pass,0,,GresJe00,,PalmCa00,,1,0,0
9/25/2017,ARI,DAL,0,0,1,14:20:00,1,62,10,-1,201709250crd,run,0,JohnCh04,,,,,1,0,0
9/25/2017,ARI,DAL,0,0,1,13:47:00,2,63,11,10,201709250crd,pass,0,,NiklTr00,,PalmCa00,,1,0,0
9/25/2017,ARI,DAL,0,0,1,13:09:00,3,53,1,4,201709250crd,run,1,JohnCh04,,,,,1,0,0
9/25/2017,ARI,DAL,0,0,1,12:45:00,1,47,10,3,201709250crd,pass,0,,FitzLa00,,PalmCa00,,1,0,0
9/25/2017,ARI,DAL,0,0,1,12:04:00,2,44,7,20,201709250crd,pass,0,,ElliAn00,,PalmCa00,,1,0,0
9/25/2017,ARI,DAL,0,0,1,11:24:00,1,24,10,2,201709250crd,run,0,JohnCh04,,,,,1,0,0
9/25/2017,ARI,DAL,0,0,1,10:44:00,2,22,8,-3,201709250crd,run,0,JohnCh04,,,,,1,0,0
